text,label,answer
"একটি পোষ্য সরবরাহের দোকানে ৬১০ ব্যাগ কুকুরের খাবার এবং ৩২৭ ব্যাগ বিড়ালের খাবার রয়েছে। বিড়ালের খাবারের চেয়ে আরও কত ব্যাগ কুকুরের খাবার রয়েছে?","subtract","২৮৩"
"একটি থিয়েটারে ৫৩২ জন লোক সিনেমা দেখছে। থিয়েটারের ৭৫০ টি আসন রয়েছে। থিয়েটারে কতটি আসন খালি রয়েছে?","subtract","২১৮"
"প্রতিটি ব্যাগে ২৩ কেজি কমলালেবু রয়েছে। ৪৫ ব্যাগে কত কেজি কমলা?","multiply","১০৩৫"
"একটি গ্যারেজে প্রতিটি চেয়ারের দাম ১৫৬ টাকা । আরিফ তার ১২ টি চেয়ার কেনার জন্য কত টাকা ব্যয় করেছিল?","multiply","১৮১২"
"অরুনের দুটি সাপ রয়েছে। বাগানের সাপটি ১০ ​​ইঞ্চি লম্বা। বাগানের সাপের চেয়ে ৭ গুণ বেশি লম্বা অপরটি। আর একটি সাপ কত লম্বা?","multiply","৭০"
"আভি ১৮ সারি বাঁধাকপি রয়েছে। প্রতিটি সারিতে ১৯  টি বাঁধাকপি রয়েছে। অরুনের মোট কতগুলি বাঁধাকপি রয়েছে?","multiply","৩৪২"
"মৌমি এক ঘন্টা ১২মাইল গতিতে বাইক চালাতে পারে। তিনি ৩৮ ঘন্টা কতদূর বাইক চালাতে পারেন?","multiply","৪৫৬"
"টনি এক ঘন্টার মধ্যে ৫৫ মাইল চালিয়েছিল। এই হারে তিনি ৩৬ ঘন্টার মধ্যে কতদূর গাড়ি চালাতে পারবেন?","multiply","১৯৮০"
"একটি কেক তৈরি করতে ৪ টি আপেল লাগে। ৫১০  টি কেক করতে কতগুলি আপেল লাগে?","multiply","১৬৪০"
"মৌমি এক ঘন্টা ১২মাইল গতিতে বাইক চালাতে পারে। তিনি ৩৮ ঘন্টা কতদূর বাইক চালাতে পারেন?","multiply","৪৫৬"
"আপনি ১২০ গুলি পৃষ্ঠা সহ একটি বই পড়ছেন। আপনি যদি প্রতি রাতে একই সংখ্যক পৃষ্ঠাগুলি পড়তে চান তবে ১০ দিনের মধ্যে শেষ করতে প্রতি রাতে আপনাকে কত পৃষ্ঠা পড়তে হবে?","divide","১২"
"একটি খাদ্যশস্য বাক্স ৮ কাপ ধারণ করে। প্রতিটি পরিবেশনে ২ কাপ লাগে। পুরো বাক্সে কত পরিবেশন হবে?","multiply","১৬"
"বইয়ের একটি বাক্সের ওজন 8২ পাউন্ড। প্রতিটি বইয়ের ওজন 3 পাউন্ড। বাক্সে কয়টি বই আছে?","divide","১৪"
"সুষমা -এর মা ৭৫ কুকি তৈরি করেছেন। তিনি প্রতিটি ব্যাগে ৩ টি কুকিজ সহ কুকিজগুলি ব্যাগে রেখেছিলেন। সে কত ব্যাগ পূরণ করতে পারে?","divide","২৫"
"ফটিক সপ্তাহের প্রথম ৪ দিন ৮ ঘন্টা করে কাজ করেছিল।তিনি কত ঘন্টা কাজ করেছেন?","multiply","৩২"
"সুমা-এর মা ৬০ মাইল প্রতি ঘন্টা গাড়ি চালিয়েছিলেন। তারা ২৪ ঘন্টা ভ্রমণ করার একটি মাঠে পৌছালো। তাদের বাড়ি থেকে মাঠ কতটা দূরে ছিল?","multiply","১৪৪০"
"বেনু প্রতি ঘন্টা ৫৫ মাইল চালিত করে। তিনি ৮ ঘন্টা কত মাইল চালিত করবে?","multiply","৪৪০"
"একটি নিখুঁত স্কোর ৩৮ পয়েন্ট। টানা ৩টি নিখুঁত খেলার পরে আপনার কতগুলি পয়েন্ট থাকবে?","multiply","১১৪"
"বারিনের গাড়ি প্রতি লিটারে ৩৪ মাইল পায়। তার শেষ ভ্রমণে তিনি ৩ লিটার গ্যাস ব্যবহার করেছিলেন। তিনি তার শেষ ভ্রমণে কত মাইল ভ্রমণ করেছিলেন?","multiply","১১৪"
"ববের গাড়ি প্রতি লিটার ১০ কিলোমিটার যায়। তিনি ১৭ লিটার গ্যাসে গাড়ি চালিয়ে কতদূর যাবে?","multiply","১৭০"
"প্রতিটি কাপে ১০ গ্রাম থাকে। ৩৩ কাপে কত গ্রাম থাকবে?","multiply","৩৩০"
"একটি চকোলেট চিপ কুকি রেসিপিতে ২ কাপ চকোলেট চিপ দরকার। আপনি বিক্রয়ের জন্য ২৩ টি রেসিপি তৈরি করতে চান। তবে সমস্ত কুকি রেসিপি তৈরির জন্য কত কাপ চকোলেট চিপসের প্রয়োজন হবে?","multiply","৪৬"
"আমার একটি পোষ্য প্রতি বছরে ১১ পাউন্ড ওজন হয়। তার বয়স ৮ বছর। তার ওজন কত পাউন্ড?","multiply","৮৮"
"মুনুর গাড়ি প্রতি লিটার গ্যাসে ২০ মাইল যায়। সে ১৪ লিটার গ্যাসে কত দূর গাড়ি চালাতে পারে?","multiply","২৮০"
"আমি ১ ঘন্টায় ৪ মাইল হেঁটেছি। আমি যদি এই গতি আট ঘন্টা ধরে চালিত করি তবে আমি কত মাইল হাঁটব?","multiply","৩২"
"আমি প্রতি ১৫ মিনিটে ১ মাইল হাঁটি। আমি হেঁটেছি ৩ মাইল। তবে আমার কত মিনিট লাগল?","multiply","৪৫"
"একটি শহরে ৩৯ টি প্রাথমিক বিদ্যালয় রয়েছে। প্রতিটি স্কুলে ২৬৯ জন ছাত্র রয়েছে। শহরে মোট কত প্রাথমিক বিদ্যালয়ের শিক্ষার্থী?","multiply","১০৩৩৫"
"২৫৬০ জন শিক্ষার্থী চিড়িয়াখানায় যাচ্ছেন। তাদের দলে ভাগ করতে হবে যাতে প্রতিটি শিক্ষকের একটি দলে থাকে। শিক্ষক রয়েছেন ১০ জন। প্রতিটি দলে কতজন ছাত্র থাকবে?","divide","২৫৬"
"প্রতিটি বাক্সে ১০ টি করে কমলালেবু রাখা হয়। ২৬৫০ কমলালেবু আছে। কয়টি বাক্স ব্যবহার করেছে?","divide","২৬৫"
"আপনি আপনার বলগুলি আপনার ৫ জন সেরা বন্ধুকে দিতে চান। আপনার কাছে ৪৫৫টি বল রয়েছে। আপনি যদি তাদের সমান ভাগ করে নেন তবে প্রত্যেকে কতগুলো পাবেন?","divide","৯১"
"আরিনের ২০৮ টি তাস ছিল, তবে তিনি ১৭ টি তাস হারিয়ে ফেলেছেন। তার এখন কতটি তাস রয়েছে?","divide","১৯১"
"আশিস ১১৫ টি কেক তৈরী করে। জজু ১২ গুন্ বেশি তৈরী করে। তবে যজু কত কেক তৈরী করেছিলেন?","multiply","১৩৮০"
"একটি পাঠাগারে ১৫২৪০ টি বই রয়েছে। এগুলির তাক এমন ভাবে সাজানো থাকে যেগুলিতে ৮ টি করে বই রাখা যায়। পাঠাগারে কত তাক আছে?","divide","১৯১০"
"২১৯ জন চিড়িয়াখানায় যাচ্ছেন এবং লোকদের নেওয়ার জন্য ৩ টি বাস রয়েছে। প্রতিটি বাসে একই সংখ্যক লোক গেলে তবে কত জন চিড়িয়াখানায় যাবে?","divide","৭৩"
"আমার কাছে মিছরি কিনতে ২২৪ টাকা আছে। যদি প্রতিটি টুকরো বাল্ক মিছরির জন্যে ৮ টাকা করে খরচ হয়। তবে আমি কতগুলি মিছরি কিনতে পারি?","divide","২৮"
"আমার কুকুরটির কিছু হাড় ছিল। তারপরে সে ৩৬৭ হাড় খনন করেছিল। এখন তার ৮৬০ হাড় রয়েছে। সে কয়টি হাড় দিয়ে শুরু করেছিল?","subtract","৪৯৩"
"জাসিম ১২০৯ টি পুতুল এবং জালালের ২১৮৬ টি পুতুল ছিল। যদি তারা তাদের পুতুল একসাথে রাখে তবে তাদের কতগুলো থাকবে?","add","৩৩৯৫"
"মল্লিকা ৪০৩ টি ভাল কলম পেয়েছিলেন। সে বন্ধুবান্ধব এবং পরিবারের কাছ থেকে আরও ২৮৭ টি কলম পেয়েছিল। মল্লিকা মোট কয়টি ভাল কলম পেয়েছে?","add","৬৯০"
"আহির ৪০৩ টি ভাল কলম পেয়েছিলেন। সে বন্ধুবান্ধব এবং পরিবারের কাছ থেকে আরও ২৮৭ টি কলম পেয়েছিল। সে মোট কয়টি ভাল কলম পেয়েছে?","add","৬৯০"
"কাশি্ম ১৪ বছর বয়সী। তাঁর ঠাকুরমার বয়স তাঁর চেয়ে ৬ গুণ বেশি। কাশির বয়স কত?","multiply","৮৪"
"মম ফুটবল খেলে ১৫৬ টি গোল করেছে। এখন তিনি ১৮৭ টি গোল করেছেন। মোট গোল কত?","add","৩৪৩"
"সিলা স্কুলের জন্য একটি ৫৬৩ পৃষ্ঠার বই পড়তে হবে। তিনি ইতিমধ্যে ১৪৭ পৃষ্ঠা পড়েছেন। সে আর কত পৃষ্ঠা পড়তে বাকি?","subtract","৪১৬"
"ওম ও দিপ স্কুলে ডিম রোল তৈরি করেছিলেন। ওম ২১৯ দিম রোল করেছে ।দিপ ২২৯ টি ডিম রোল করেছে। ওম ও দিম রোল করা ডিমের মোট সংখ্যা কত?","add","৪৪৮"
"ৌনী তার মাসিমার সাথে দেখা করতে ৮৭৩ মাইল গেছিল।  তার মাসিমা দেখতে ৫৬৩ মাইল গেছিল  ো  সে  কত মাইল বেশি গেছিল?","subtract","৩১০"
"দিশা তার দিদার সাথে দেখা করতে ৬৭৯ মাইল পথ গেছিলেন। জুলিয়া তার দাদির সাথে দেখা করতে ৯৯৮ মাইল পথ গেছিলেন। ।দিশা এবং জুলিয়া চালিত মোট মাইলের সংখ্যা কত?","subtract","৩১৯"
"ইসমাইল ৯০০ টুকরো কাগজ কিনেছিলেন। তিনি কাগজের ১৫৬ টুকরা ব্যবহার করেছেন। সে কাগজের কত টুকরো আর আছে?","subtract","৭৪৪"
"মিসেস দত্তর  গাড়ির ওডোমিটারটি দেখিয়েছে যে সে ২১২.৩ মাইল ভ্রমণ করেছে। তিনি যখন খাওয়ার জন্য থামলেন ওডোমিটারটি ৩৭২.০ মাইল দেখায়। তিনি কত মাইল ভ্রমণ করেছিলেন?","subtract","১৫৭.৭"
"শুক্রবার মিসেস পাল ফুটবল খেলায় ২৪৩৬ ভক্তকে মুগ্ধ করেছেন। যদি ভক্তরা ৩ জনের সমান দলে বসে থাকেন তবে কতগুলি দলে ভক্তরা ছিলেন?","divide","৮১২"
"আপনার ক্লাসে একটি কেক পার্টি ছিল। একটি কেকের ০.৩৮ অংশ বাকি ছিল এবং অন্য কেকের ০.০৫ ভাগ বাকি ছিল। আপনি উভয়কে একটি বাক্সে রেখেছেন। আপনার কাছে মোট কতটা কেক আছে?","subtract","০.৩৩"
"একটি কেকের রেসিপিতে ক্রিমের জন্য ৭ কাপ চিনি এবং কেকের জন্য ২ কাপ চিনি প্রয়োজন। একসাথে মোট কত চিনি প্রয়োজন?","add","৯"
"একটি পার্টির পরে ০.৬৮ ভাগ কেক বাকি আছে। এই রাতে বড় ভাই কেকের ০.২৫ ভাগ খায়। তার পরে আর কতটা বাকি?","subtract","০.৪৩"
"আপনি ৭ মাইল হেঁটেছেন এবং তারপরে বিশ্রাম নিতে বসেন। তারপরে আপনি এক মাইলের ৫ হাঁটলেন। আপনি একসাথে কতদূর হেঁটেছেন?","add","১২"
"জনের ২৫৮ টাকা প্রয়োজন। তার ৭৫ টাকা রয়েছে। তার আরও কত টাকার দরকার?","subtract","১৮৩"
"জেনি ৭৯ টাকা দিয়ে একটি আপেল কিনে এবং ৫০০ টাকা বিক্রেতাকে দেয়। সে কতটা ফেরত পাবে?","subtract","৪২১"
"জন স্কুলে ০.৯ মাইল হেঁটেছেন এবং নিনা স্কুলে ০.৪ মাইল হেঁটেছেন। জন নিনার চেয়ে কত দূরে বেশি হেঁটেছে?","subtract","০.৫"
"একটি পেন্সিলের ওজন ২৬.৩ গ্রাম। তবে ৫ টি পেন্সিলের ওজন কত?","multiply","১৩১.৫"
"আমন ৩ দিন কাজ করেছিলেন। তিনি প্রতিদিন ৩ ঘন্টা করে কাজ করেছিলেন। তিনি মোট কত ঘন্টা কাজ করেছেন?","multiply","৯"
"বাড়ি নির্মাণ শুরু করার জন্য, সুমন ও তার বাবার বন থেকে কিছু কাঠ সংগ্রহ করা দরকার। যদি প্রাথমিকভাবে তাদের বাড়িতে ১৫ টি কাঠের গুঁড়ি থাকে এবং প্রতিটি থেকে ১০ টি টুকরো কাঠ পেয়ে থাকে তবে তাদের মোট কত টুকরো কাঠ রয়েছে?","multiply","১৫০"
"মনামির জন্মদিনে যদি তার ক্লাসে ১৫ জন মেয়ে সহপাঠী, ২০ জন ছেলে সহপাঠী এবং ৩ জন শিক্ষক থাকে তবে কত জন তার জন্মদিনের পার্টিতে অংশ নিয়েছিল?","add","৩৮"
"আসিক ১৮৬ টাকায় একটি ব্যাট এবং ৭৫ টাকায় একটি বল কিনেছিল। সে মোট কত টাকা ব্যয় করেছিল?","add","২৬১"
"আমাদের খামারে ৪ টি সারি আমের গাছ রয়েছে। প্রতিটি সারিতে ১৫ টি আম গাছ রয়েছে। মোট কতগুলো আমের গাছ আছে?","multiply","৬০"
"৬ জন গাড়ি দাঁড়িয়ে আছে এবং প্রতিটি গাড়িতে ৪ জন লোক রয়েছে। সব মিলিয়ে কত লোক আছে?","multiply","২৪"
"একটি বেলুন বিক্রেতার ১২৭ টি বেলুন ছিল। দিনের শেষে তিনি ৯৯ টি বেলুন বিক্রি করেছিলেন। দিনের শেষে তাঁর কাছে আর কয়টি বেলুন বাকি আছে?","subtract","২৮"
"একটি স্কুলে ৬৯ জন পুরুষ ও মহিলা শিক্ষক রয়েছেন। এর মধ্যে ৩০ জন মহিলা শিক্ষক। সেখানে কতজন পুরুষ শিক্ষক রয়েছেন?","subtract","৩৯"
"একটি ট্রেন ৯৭ জন যাত্রী বহন করে। ৫০ জন যাত্রী প্রথম স্টেশনে নামলেন। ট্রেনে এখন কয়জন যাত্রী রয়েছেন?","subtract","৪৭"
"সিটুর ৮৮ টি গুলি এবং সোনুর ১১০ টি গুলি রয়েছে। দুজনের মিলিয়ে কত গুলি আছে?","add","১৯৮"
"একটি খেলনার দোকানে ১৮০ টি পুতুল, ৫৩ টি খেলনা গাড়ি এবং ২২ টি ফুটবল রয়েছে। মোট কতগুলি জিনিস আছে?","add","১৮৩"
"একটি রান্নাঘরে ৫৮ টি চামচ, ৭০ টি বাটি এবং ২৯ টি গ্লাস রয়েছে। মোট পাত্রের সংখ্যা কত?","add","১৫৭"
"আমাদের স্কুল গ্রন্থাগারে ৭৯ টি গল্পের বই এবং ১০১ টি কমিক রয়েছে। মোট বইয়ের সংখ্যা কত?","add","১৮০"
"রাধা একটি চিড়িয়াখানায় গিয়ে ১০৯ টি হরিণ্, ৫০ টি কুমির এবং ৫০ টি হাঁস দেখতে পেল। সে মোট কতগুলি প্রাণী দেখেছে?","add","২০৯"
"আজ লিলার জন্মদিন। রহমত এবং ইলাম তাকে ৮ টি করে খেল্না দিল। লিলার কাছে মোট কটা খেল্না হল​?","add","১৬"
"কাকা ১২ টা লিছু ৪ জনকে সমান ভাগে ভাগ করে দিল​। প্রত্যেকে কটা করে লিছু পাবে?","add","৩"
"বাবা বাজারে গিয়ে ১৭ টাকার তরমুজ, ৫০ টাকার মাছ এবং ২০ টাকার আলু কিনলেন। তিনি মোট কত টাকা খরচ করলেন?","add","৮৭"
"আজ লিলার জন্মদিন। রহমত এবং ইলাম তাকে ৮ টি করে খেল্না দিল। লিলার কাছে মোট কটা খেল্না হল​?","add","১৬"
"কাকা ১২ টা লিছু ৪ জনকে সমান ভাগে ভাগ করে দিল​। প্রত্যেকে কটা করে লিছু পাবে?","divide","৩"
"বাবা বাজারে গিয়ে ১৭ টাকার তরমুজ, ৫০ টাকার মাছ এবং ২০ টাকার আলু কিনলেন। তিনি মোট কত টাকা খরচ করলেন?","add","৮৭"
"আজ স্কুলের প্রথম শ্রেনীর ৩৯ জন ও দ্বিতীয় শ্রেনীর ৪৮ জন এসেছে। আজ ওই দুই শ্রেনীতে মোট কতজন এসেছে?​","add","৮৭"
"পাড়ার অনুষ্ঠানে ১২৭ জন শিশু ও ৫৬ জন অভিভাবক এসেছে। প্রত্যেক শিশুকে ২ টি করে লজেন্স দিলে মোট কয়টি লজেন্স লাগবে?","add","২৫৪"
"একটি কলার দাম ৫ টাকা। বর্নার কাছে ৪০ টাকা আছে। সে কতগুলি কলা কিনতে পারবে?","add","৮"
"আমি সকাল ৮ টা তে বাগানে জল দেওয়া শুরু করেছিলাম। সকাল ৮ টা ৩০ মিনিটে শেষ করলাম। আমি কত সময় বাগানে ছিলাম?","subtract","৩০"
"আনুর পরিবারে প্রতিদিন ১৩৫ টি পুতুল তৈরি হয়। ৫ দিনে মোট কয়টি পুতুল তৈরি হবে?","multiply","৬৭৫"
"শ্যামলি ১২০ টি ঘুড়ি বিক্রি করেছে। প্রতিটি ঘুড়ির দাম ৬ টাকা হলে সে মোট কতো টাকা পেল​?","divide","২০"
"সুজা্নের কাছে ৬৬ টি ঘুঁটি ছিল​। সে ৬ জনের মধ্যে সমান ভাগে ভাগ করে দিল​। প্রত্যেকে কত গুলি করে ঘুঁটি পাবে?","add","১১"
"প্রিয়ম গাছ থেকে ৭০০ টি পেয়ারা পেড়ে ৭ টি বস্তায় সমান ভাগে রাখলো। প্রতিটি বস্তায় কত গুলি করে পেয়ারা আছে?","divide","১০০"
"মার কাছে ৬ টি কলম আছে। অয়নের কাছে ৮ টি কলম আছে। তাদের কাছে মোট কত গুলি কলম আছে?","add","১৪"
"চারটি ঝুড়িতে আম আছে। প্রথম ঝুড়িতে ১৯ টি, দ্বিতীয় ঝুড়িতে ১৯ টি, তৃতীয় ঝুড়িতে ৮ টি ও চতুর্থ ঝুড়িতে ১৪ টি আম আছে। মোট কত গুলি আম আছে?","add","৬০"
"তোমার কাছে ২৯ টাকা ছিল। তুমি তা থেকে ২০ টাকা তোমার দিদিকে দিলে। তোমার কাছে আর কত টাকা থাকবে?","subtract","৯"
"১ কেজি আপেলের দাম ৪৯ টাকা হলে ৩ কেজি আপেলের দাম কত?","multiply","১৪৭"
"১ প্যাকেট বিস্কুট এর দাম ৩ টাকা ২৯ টাকায় কত প্যাকেট বিস্কুট পাওয়া যাবে?","divide","৯.৬৬"
"একটি খবরের কাগজের দাম ৩ টাকা হলে এক মাসে কত টাকা লাগবে?","multiply","৯০"
"কোন ব্যাক্তির মাসিক আয় ২৫৭ টাকা হলে তার বাৎসরিক আয় কত হবে?","multiply","৩০৮৪"
"এক ব্যক্তির মাসের খরচ মুদিখানাতে ৬০.৫৬ টাকা, ধোপাকে ৮.৪০ টাকা, বাজারে ৯০.৫০ টাকা, কাগজে ২০.৫০ টাকা। ঐ ব্যাক্তির মাসিক মোট খরচ কত?","add","১৭৯.৯৬"
"তরুণ বাবুর কাছে ৬০ টাকা আছে। তিনি ৭০ টাকায় একটি গাছ কিনলেন। তাকে কত ধার করতে?","subtract","১০"
"তোমার গণিত বই ৮৫৮ টি লাইন আছে। একটি পাতায় ১৭ টি লাইন থাকলে বইটিতে কত পাতা আছে?","divide","৫০"
"তুমি ১০৮ টাকা নিয়ে বাজারে গেলে ২০.২৫ টাকায় মাছ কিনলে এখন তোমার কাছে আর কত টাকা আছে?","subtract","৮৭.৭৫"
"গতবছর বিদ্যালয়ের ৮৯ জন ছাত্র-ছাত্রী ছিল এবছর ৯৮ জন ছাত্র-ছাত্রী বর্তমান কতজন ছাত্র-ছাত্রী বেড়েছে?","subtract","৯"
"গোপা বয়স ৭ বছর গোপালের দাদার বয়স ১৩ বছর হলে দুজনের মোট বয়স কত হবে?","subtract","২০"
"৮৯ টি কমলালেবু কে সমান ভাগে ৪ জনকে দিলে প্রত্যেকটি করে লেবু পাবে?","divide","২২.২৫"
"আমল ২২ টি লেবু, কেষ্ট ১৮ টি লেবু, কমল ২৪ টি লেবু কিনল তিনজনে মোট কয়টি লেবু কিনলো?","add","৬৮"
"তোমার দাদুর বয়স ৮০ ,তোমার বয়স যদি ৮ বৎসর হয় তবে তোমাদের দুজনের মোট বয়স কত?","multiply","০.৮৮"
"প্রতি শ্রেণীতে ৬৮ জন ছাত্রী হিসেবে বিদ্যালয় ৪ টি শ্রেণি আছে। বিদ্যালয়ে সেদিন মোট কত জন ছাত্রী অনুপস্থিত ছিল?","multiply","২৭২"
"একটি গাছে ৭৮ টি পাখি ছিল। তার মধ্যে ২৯ টি পাখি উড়ে গেল এখন গাছে কয়টি পাখি রইল?","subtract","৪৯"
"রামের ৫৭৭ টাকা ছিল। রাম ২৪৫ টাকাখরচ করল। রামের কত টাকা থাকলো?","subtract","৩৩২"
"তোমার ১০৮ টি মার্বেল আছে। তোমার দিদি তোমাকে আরো ৫৫ টি মার্বেল দিল। তোমার মোট কতগুলি মার্বেল হল?","add","১৬৩"
"অভিদের স্কুলে ১০৮ ছাত্র-ছাত্রী আছে। প্রত্যেককে ৯ টি করে কমলালেবু দিতে মোট কতগুলি কমলালেবু লাগবে?","multiply","৯৭২"
"পাপনের কাছে ৮০ পয়সা আছে। পিকুর কাছে ৯২ পয়সা আছে। পাপান এর থেকে পিকুর কত পয়সা বেশি আছে?","subtract","১২"
"তোমার কাছে ৩৯ টাকা ছিল। তুমি তা থেকে ১০ টাকা তোমার দাদাকে দিলে। তোমার কাছে আর কত টাকা থাকবে?","subtract","২৯"
"২ প্যাকেট বিস্কুট এর দাম ২০ টাকা। ৪০ টাকায় কত প্যাকেট বিস্কুট পাওয়া যাবে?","divide","২"
"একটি খবরের কাগজের দাম ৫ টাকা হলে ৩০ দিনে কত টাকা লাগবে?","multiply","১৫০"
