"সুমন ২০ টাকা দিয়ে ৪টি খাতা কিনল। প্রতিটি খাতার দাম কত?",divide,৫
"১০ জন শিক্ষার্থী প্রত্যেকে ৩টি করে বই আনল। মোট কতটি বই হলো?",multiply,৩০
"৪৮টি কমলালেবু ৬ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৮
"মিনা ১৪টি পেন্সিল কিনেছে। সে ৬টি হারিয়েছে। এখন কয়টি আছে?",subtract,৮
"২০টি বেলুন আছে। ১০টি ফেটে গেছে। এখন কতটি আছে?",subtract,১০
"৩ জন বন্ধু ৯০ টাকা সমান ভাগে ভাগ করল। প্রত্যেকে কত পেল?",divide,৩০
"১০টি বাক্সে ১৫টি করে বল আছে। মোট কতটি বল হলো?",multiply,১৫০
"সুমন প্রতিদিন ৫টি করে শব্দ শিখে। ৬ দিনে মোট কতটি শব্দ শিখবে?",multiply,৩০
"৪০টি কলম আছে। তার মধ্যে ১৮টি দেওয়া হলো। এখন কয়টি আছে?",subtract,২২
"একটি ট্রেনে ৫০ জন যাত্রী আছে। আরও ২৫ জন উঠল। এখন মোট যাত্রী কতজন?",add,৭৫
"৬টি টেবিলে প্রতিটিতে ৮টি চেয়ার আছে। মোট কতটি চেয়ার হলো?",multiply,৪৮
"৪২টি বই ৭ জন ছাত্রের মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"৩৫ টাকা দিয়ে ৭টি আম কেনা হলো। প্রতিটি আমের দাম কত?",divide,৫
"১৫ জন ছাত্র প্রত্যেকে ২টি খাতা আনল। মোট কতটি খাতা হলো?",multiply,৩০
"৬০টি কমলালেবু থেকে ২৫টি খাওয়া হলো। এখন কতটি বাকি?",subtract,৩৫
"৩টি বাসে ৪০ জন করে যাত্রী আছে। মোট কতজন যাত্রী হলো?",multiply,১২০
"১০০ টাকা থেকে ৪০ টাকা খরচ করা হলো। এখন কত টাকা আছে?",subtract,৬০
"৫০টি আপেল ৫ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,১০
"একটি স্কুলে ৩০ জন ছেলে এবং ২০ জন মেয়ে আছে। মোট শিক্ষার্থী কতজন?",add,৫০
"৫টি খাতায় প্রতিটিতে ২৫টি করে পৃষ্ঠা আছে। মোট কতটি পৃষ্ঠা হলো?",multiply,১২৫
"৪৮টি আম ৮ জন বন্ধুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"৭টি বাক্সে প্রতিটিতে ১০টি করে বই আছে। মোট কতটি বই হলো?",multiply,৭০
"মিতা ৩৫ টাকা পেল। সে ১৫ টাকা খরচ করল। এখন তার কাছে কত টাকা আছে?",subtract,২০
"৪০টি ডিম আছে। ১২টি বিক্রি হলো। এখন কতটি আছে?",subtract,২৮
"একটি খেলার মাঠে ৫০ জন ছেলে এবং ২৫ জন মেয়ে খেলছে। মোট কতজন খেলছে?",add,৭৫
"৬০টি ক্যান্ডি ১০ জনের মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"৮টি গাড়িতে ৫ জন করে যাত্রী বসেছে। মোট কতজন যাত্রী হলো?",multiply,৪০
"মিনা ২৫ টাকা দিয়ে ৫টি কলম কিনল। প্রতিটি কলমের দাম কত?",divide,৫
"৩০টি চেয়ার আছে। আরও ১৫টি আনা হলো। এখন মোট কতটি চেয়ার হলো?",add,৪৫
"১০০ টাকা থেকে ২০ টাকা খরচ করা হলো। এখন কত টাকা আছে?",subtract,৮০
"৯ জন শিশু প্রত্যেকে ২টি করে আম পেল। মোট কতটি আম হলো?",multiply,১৮
"৩৬টি বই ৬ জন ছাত্রের মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"রুবি ৫০ টাকা পেল। সে ২০ টাকা খরচ করল এবং পরে ১০ টাকা পেল। এখন কত টাকা আছে?",multi_step,৪০
"একটি খামারে ১২টি গরু আছে। প্রতিটি গরু দিনে ২ লিটার দুধ দেয়। একদিনে মোট কত লিটার দুধ হবে?",multiply,২৪
"৮টি আপেল থেকে ৩টি খাওয়া হলো। এখন কতটি আছে?",subtract,৫
"১০টি কম্পিউটার আছে। আরও ৫টি আনা হলো। এখন মোট কতটি হলো?",add,১৫
"৫ জন বন্ধু মিলে ২৫০ টাকা সমান ভাগে ভাগ করল। প্রত্যেকে কত টাকা পেল?",divide,৫০
"মিতা ৩০ টাকা দিয়ে ৬টি খাতা কিনল। প্রতিটি খাতার দাম কত?",divide,৫
"১২টি চেয়ার আছে। আরও ৮টি আনা হলো। এখন মোট কতটি চেয়ার হলো?",add,২০
"৩ জন শিক্ষার্থী প্রত্যেকে ৫টি করে খাতা আনল। মোট কতটি হলো?",multiply,১৫
"৫০টি কলা আছে। ১৮টি খাওয়া হলো। এখন কতটি আছে?",subtract,৩২
"৪টি ঝুড়িতে প্রতিটিতে ২৫টি করে আম আছে। মোট কতটি আম হলো?",multiply,১০০
"২৪টি চকোলেট ৮ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৩
"৪৫টি ডিম আছে। ১৫টি বিক্রি হলো। এখন কতটি বাকি?",subtract,৩০
"১০ জন শিক্ষার্থী প্রত্যেকে ৪টি করে বই পড়ল। মোট কতটি বই পড়া হলো?",multiply,৪০
"৩৬টি কমলালেবু ১২ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৩
"৪০টি টাকা থেকে ১২ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২৮
"২০টি চেয়ার আছে। আরও ১০টি আনা হলো। এখন মোট কতটি হলো?",add,৩০
"৬ জন বন্ধু প্রত্যেকে ২টি করে চকোলেট খেল। মোট কতটি হলো?",multiply,১২
"৩০০ টাকা ১০ জন ছাত্রের মধ্যে ভাগ করা হলো। প্রত্যেকে কত টাকা পেল?",divide,৩০
"১৫টি আম থেকে ৫টি খাওয়া হলো। এখন কতটি আছে?",subtract,১০
"রাহিম ১২টি কমলালেবু কিনল। পরে আরও ৮টি কিনল। এখন মোট কতটি আছে?",add,২০
"৫টি ঝুড়িতে প্রতিটিতে ২০টি করে আম আছে। মোট কতটি হলো?",multiply,১০০
"৯০টি ক্যান্ডি ৩০ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৩
"৭০ টাকা থেকে ৩৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৩৫
"৮টি গরু প্রতিদিন ৩ লিটার দুধ দেয়। মোট কত লিটার দুধ হলো?",multiply,২৪
"৬০টি কলম আছে। ১৫টি দেওয়া হলো। এখন কয়টি আছে?",subtract,৪৫
"২০টি আপেল আছে। আরও ৫টি আনা হলো। এখন কতটি হলো?",add,২৫
"৮ জন বন্ধু ৬৪টি আম ভাগ করে নিল। প্রত্যেকে কয়টি পেল?",divide,৮
"১০০ টাকা থেকে ৫০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৫০
"৪টি বাক্সে প্রতিটিতে ৩০টি করে বই আছে। মোট কতটি হলো?",multiply,১২০
"২৫টি চকোলেট থেকে ১০টি খাওয়া হলো। এখন কতটি বাকি?",subtract,১৫
"১২টি চেয়ার আছে। আরও ৬টি আনা হলো। এখন মোট কতটি হলো?",add,১৮
"২০ জন শিক্ষার্থী প্রত্যেকে ৪টি করে খাতা আনল। মোট কতটি হলো?",multiply,৮০
"৮০টি আপেল ২০ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৪
"মিতা ৩০ টাকা পেল। সে ১০ টাকা খরচ করল এবং পরে ৫ টাকা পেল। এখন কত টাকা আছে?",multi_step,২৫
text,label,answer
"২০টি কলম আছে। তার মধ্যে ৮টি দেওয়া হলো। এখন কয়টি আছে?",subtract,১২
"১২টি বই আছে। আরও ৫টি আনা হলো। এখন মোট কয়টি হলো?",add,১৭
"৬ জন শিশু প্রত্যেকে ৪টি করে ক্যান্ডি খেল। মোট কতটি হলো?",multiply,২৪
"৪৮টি কমলালেবু ১২ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৪
"৫০ টাকা থেকে ৩০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২০
"একটি স্কুলে ৬০ জন ছেলে এবং ৪০ জন মেয়ে আছে। মোট কতজন?",add,১০০
"১৫টি কলা আছে। তার মধ্যে ৫টি খাওয়া হলো। এখন কয়টি আছে?",subtract,১০
"১০ জন শিক্ষার্থী প্রত্যেকে ৬টি করে খাতা আনল। মোট কতটি হলো?",multiply,৬০
"৯০টি চকোলেট ৯ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,১০
"৪০ টাকা থেকে ১০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৩০
"২৫টি বল আছে। আরও ১৫টি আনা হলো। এখন মোট কয়টি হলো?",add,৪০
"৫টি ব্যাগে প্রতিটিতে ২০টি করে বই আছে। মোট কতটি হলো?",multiply,১০০
"৪৫ জন শিক্ষার্থী ৫টি সারিতে দাঁড়িয়েছে। প্রতিটি সারিতে কয়জন?",divide,৯
"৭৫ টাকা থেকে ২৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৫০
"৩০ জন ছেলে এবং ২০ জন মেয়ে আছে। মোট কতজন?",add,৫০
"১২টি চেয়ার আছে। ৪টি সরিয়ে নেওয়া হলো। এখন কয়টি আছে?",subtract,৮
"১০ জন বন্ধু প্রত্যেকে ৫টি করে ক্যান্ডি আনল। মোট কতটি হলো?",multiply,৫০
"৬০টি কলম ১২ জন শিক্ষার্থীর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৫
"৫০ টাকা থেকে ২০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৩০
"৮০টি আম আছে। আরও ২০টি আনা হলো। এখন মোট কতটি হলো?",add,১০০
"৭টি ঝুড়িতে প্রতিটিতে ১২টি করে কমলালেবু আছে। মোট কতটি হলো?",multiply,৮৪
"৩৬ জন শিক্ষার্থী ৬টি সারিতে দাঁড়িয়েছে। প্রতিটি সারিতে কয়জন?",divide,৬
"৪৫ টাকা থেকে ১৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৩০
"১০ জন শিক্ষার্থী প্রত্যেকে ৩টি করে বই আনল। মোট কতটি হলো?",multiply,৩০
"২০টি পেন্সিল আছে। তার মধ্যে ৭টি দেওয়া হলো। এখন কয়টি আছে?",subtract,১৩
"৫টি বাক্সে প্রতিটিতে ১৮টি করে বল আছে। মোট কতটি হলো?",multiply,৯০
"৪০টি আপেল ৮ জনের মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৫
"২৫ টাকা থেকে ৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২০
"১২টি কমলালেবু আছে। আরও ৮টি আনা হলো। এখন মোট কতটি হলো?",add,২০
"৬ জন শিশু প্রত্যেকে ৭টি করে ক্যান্ডি খেল। মোট কতটি হলো?",multiply,৪২
"৪৮টি বই ৮ জন শিক্ষার্থীর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"৩০ টাকা থেকে ১২ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,১৮
"৪০ জন ছেলে এবং ২০ জন মেয়ে আছে। মোট কতজন?",add,৬০
"৯টি আম আছে। তার মধ্যে ৪টি খাওয়া হলো। এখন কয়টি আছে?",subtract,৫
"১৫ জন শিক্ষার্থী প্রত্যেকে ২টি করে খাতা আনল। মোট কতটি হলো?",multiply,৩০
"৮০টি চকোলেট ১০ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৮
"৫০ টাকা থেকে ১০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৪০
"২০টি চেয়ার আছে। আরও ১৫টি আনা হলো। এখন মোট কতটি হলো?",add,৩৫
"৭টি বাক্সে প্রতিটিতে ১৪টি করে বই আছে। মোট কতটি হলো?",multiply,৯৮
"৬০ জন শিক্ষার্থী ১০টি সারিতে দাঁড়িয়েছে। প্রতিটি সারিতে কয়জন?",divide,৬
"২৫ টাকা থেকে ১০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,১৫
"১২ জন শিক্ষার্থী প্রত্যেকে ৩টি করে খাতা আনল। মোট কতটি হলো?",multiply,৩৬
"৩০টি আম আছে। তার মধ্যে ১২টি খাওয়া হলো। এখন কয়টি আছে?",subtract,১৮
"৫০টি কলম ১০ জন শিক্ষার্থীর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৫
"৪০ টাকা থেকে ১৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২৫
"৬টি টেবিলে প্রতিটিতে ১০টি করে চেয়ার আছে। মোট কতটি হলো?",multiply,৬০
"৩০টি বই আছে। আরও ২০টি আনা হলো। এখন মোট কতটি হলো?",add,৫০
"৮০টি আপেল আছে। ৩০টি খাওয়া হলো। এখন কয়টি আছে?",subtract,৫০
"৯ জন বন্ধু প্রত্যেকে ৫টি করে ক্যান্ডি খেল। মোট কতটি হলো?",multiply,৪৫
"২৪টি চকোলেট ৪ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"৪৫ টাকা থেকে ২০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২৫
"১০ জন শিক্ষার্থী প্রত্যেকে ২টি করে বই আনল। মোট কতটি হলো?",multiply,২০
"৫০টি আম আছে। তার মধ্যে ১৫টি দেওয়া হলো। এখন কয়টি আছে?",subtract,৩৫
"৭টি ঝুড়িতে প্রতিটিতে ৮টি করে কলা আছে। মোট কতটি হলো?",multiply,৫৬
"৪২ জন শিক্ষার্থী ৭টি সারিতে দাঁড়িয়েছে। প্রতিটি সারিতে কয়জন?",divide,৬
"৩০ টাকা থেকে ১০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২০
"১২টি চেয়ার আছে। আরও ৮টি আনা হলো। এখন মোট কতটি হলো?",add,২০
"৯ জন বন্ধু প্রত্যেকে ৪টি করে খাতা আনল। মোট কতটি হলো?",multiply,৩৬
"৬০টি ডিম ১২ জনের মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৫
"৪৫ টাকা থেকে ২৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২০
"২০টি বই আছে। আরও ১৫টি আনা হলো। এখন মোট কতটি হলো?",add,৩৫
"১০ জন শিক্ষার্থী প্রত্যেকে ৫টি করে খাতা আনল। মোট কতটি হলো?",multiply,৫০
"৮০টি চকোলেট আছে। ৪০টি খাওয়া হলো। এখন কয়টি আছে?",subtract,৪০
"৪০টি কলম ৮ জন শিক্ষার্থীর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৫
"৫০ টাকা থেকে ৩০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২০
"৭টি টেবিলে প্রতিটিতে ৬টি করে চেয়ার আছে। মোট কতটি হলো?",multiply,৪২
"১৫টি আম আছে। আরও ১০টি আনা হলো। এখন মোট কতটি হলো?",add,২৫
"২০টি কলম আছে। তার মধ্যে ৬টি দেওয়া হলো। এখন কয়টি আছে?",subtract,১৪
"১২ জন শিক্ষার্থী প্রত্যেকে ৪টি করে খাতা আনল। মোট কতটি হলো?",multiply,৪৮
"৬০টি আপেল ১০ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"৪০ টাকা থেকে ১২ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২৮
"২৫টি চেয়ার আছে। আরও ২০টি আনা হলো। এখন মোট কতটি হলো?",add,৪৫
"৯ জন বন্ধু প্রত্যেকে ৩টি করে বই আনল। মোট কতটি হলো?",multiply,২৭
"৩০টি চকোলেট আছে। তার মধ্যে ১২টি খাওয়া হলো। এখন কয়টি আছে?",subtract,১৮
"৮টি ঝুড়িতে প্রতিটিতে ১০টি করে কলা আছে। মোট কতটি হলো?",multiply,৮০
"২৪টি ডিম ৬ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৪
"৫০ টাকা থেকে ২০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৩০
"১০ জন শিক্ষার্থী প্রত্যেকে ৭টি করে খাতা আনল। মোট কতটি হলো?",multiply,৭০
"২০টি কমলালেবু আছে। আরও ১৫টি আনা হলো। এখন মোট কতটি হলো?",add,৩৫
"৮০টি আম আছে। ২৫টি খাওয়া হলো। এখন কয়টি আছে?",subtract,৫৫
"১২ জন শিক্ষার্থী প্রত্যেকে ৫টি করে বই আনল। মোট কতটি হলো?",multiply,৬০
"৭২টি চকোলেট ১২ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"৪৫ টাকা থেকে ১০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৩৫
"৩০টি চেয়ার আছে। আরও ১০টি আনা হলো। এখন মোট কতটি হলো?",add,৪০
"৯ জন বন্ধু প্রত্যেকে ৬টি করে ক্যান্ডি খেল। মোট কতটি হলো?",multiply,৫৪
"৬০টি ডিম ১০ জনের মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৬
"২০ টাকা থেকে ৮ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,১২
"৪টি ঝুড়িতে প্রতিটিতে ১৫টি করে কমলালেবু আছে। মোট কতটি হলো?",multiply,৬০
"৫০টি কলম আছে। ১০টি দেওয়া হলো। এখন কয়টি আছে?",subtract,৪০
"১২টি বই আছে। আরও ১৮টি আনা হলো। এখন মোট কতটি হলো?",add,৩০
"১০ জন শিক্ষার্থী প্রত্যেকে ৮টি করে খাতা আনল। মোট কতটি হলো?",multiply,৮০
"৪০টি চকোলেট ৫ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৮
text,label,answer
"রাহিমের কাছে ৫০ টাকা আছে। সে ৩০ টাকা খরচ করল। এখন তার কাছে কত টাকা আছে?",subtract,২০
"একটি ঝুড়িতে ১৮টি আম আছে। ২টি ঝুড়িতে মোট কতটি আম?",multiply,৩৬
"৪০টি কলম ৮ জন ছাত্রের মধ্যে সমান ভাগে দেওয়া হলো। প্রত্যেকে কয়টি পেল?",divide,৫
"সোহেল ২৫ টাকা দিয়ে একটি কলম কিনল। তার কাছে ৭৫ টাকা ছিল। এখন কত টাকা আছে?",subtract,৫০
"১০টি গাছে ১২টি করে আম আছে। মোট কতটি আম?",multiply,১২০
"একটি দোকানে ৯০টি চকলেট আছে। তার মধ্যে ৩০টি বিক্রি হলো। বাকি কতটি আছে?",subtract,৬০
"রুবি ৫টি খাতা কিনল। প্রতিটি খাতার দাম ১০ টাকা। মোট কত টাকা লাগল?",multiply,৫০
"১৫০ টাকা থেকে ৭৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৭৫
"একজন শিক্ষক ২০ জন ছাত্রকে ৪টি দলে ভাগ করলেন। প্রতিটি দলে কয়জন?",divide,৫
"রাহিম ৭টি বই কিনল। পরে আরও ৩টি কিনল। মোট কতটি বই কিনল?",add,১০
"৪৮টি ক্যান্ডি ১২ জনের মধ্যে সমান ভাগে দেওয়া হলো। প্রত্যেকে কয়টি পেল?",divide,৪
"মিতা ৪০ টাকা দিয়ে ২টি খেলনা কিনেছে। প্রতিটি খেলনার দাম কত?",divide,২০
"একটি ট্রেনে ২৫ জন যাত্রী উঠল। পরে আরও ১৫ জন উঠল। মোট কতজন উঠল?",add,৪০
"১০০ টাকা থেকে ২০ টাকা খরচ করল এবং পরে আরও ৩০ টাকা খরচ করল। বাকি কত টাকা?",multi_step,৫০
"একটি বাক্সে ২৫টি পেন্সিল আছে। ৪টি বাক্সে মোট কতটি পেন্সিল?",multiply,১০০
"রাহিমের কাছে ৯টি আম আছে। সে ৪টি খেল। এখন কতটি আছে?",subtract,৫
"৪৫টি বই ৯ জন ছাত্রের মধ্যে ভাগ হলো। প্রত্যেকে কয়টি বই পেল?",divide,৫
"সুমন ৫ কিমি হাঁটে প্রতিদিন। ১০ দিনে মোট কত কিমি হাঁটবে?",multiply,৫০
"একটি দোকানে ২০০ টাকা ছিল। ৫০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,১৫০
"রুবি ১২টি কমলালেবু কিনেছে। সে ৬টি খেয়েছে। এখন কতটি আছে?",subtract,৬
"৮০টি কলা ১০ জন বাচ্চার মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি পেল?",divide,৮
"তানিয়ার কাছে ৯০ টাকা আছে। সে ৪৫ টাকা খরচ করল। এখন কত টাকা আছে?",subtract,৪৫
"১৫টি কলমের দাম ৭৫ টাকা। প্রতিটি কলমের দাম কত?",divide,৫
"একটি গাড়িতে ২৫ জন যাত্রী আছে। ৩টি গাড়িতে মোট কতজন যাত্রী?",multiply,৭৫
"রুবেল ৫টি বই কিনল। প্রতিটি বইয়ের দাম ৩০ টাকা। মোট কত টাকা লাগল?",multiply,১৫০
"২০টি চেয়ার আছে। আরও ১৫টি আনা হলো। এখন কতটি চেয়ার?",add,৩৫
"একটি দোকানে ৩০টি খেলনা আছে। ১২টি বিক্রি হলো। এখন কতটি বাকি?",subtract,১৮
"৪০টি কমলালেবু ৫ জন বন্ধুর মধ্যে ভাগ হলো। প্রত্যেকে কয়টি পেল?",divide,৮
"৫০ টাকা থেকে ২৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২৫
"একজন কৃষক প্রতিদিন ১২টি ডিম পায়। ৭ দিনে মোট কতটি ডিম হবে?",multiply,৮৪
"রাহিমের কাছে ১০ টাকা আছে। শিলা তাকে আরও ২০ টাকা দিল। এখন কত টাকা আছে?",add,৩০
"৬০টি পেন্সিল ১২ জন ছাত্রের মধ্যে ভাগ হলো। প্রত্যেকে কয়টি পেল?",divide,৫
"৭০ টাকা থেকে ৫০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২০
"একটি বাক্সে ৮টি বল আছে। ৭টি বাক্সে মোট কতটি বল?",multiply,৫৬
"একজন ছাত্র প্রতিদিন ৩ ঘণ্টা পড়ে। ৩০ দিনে মোট কত ঘণ্টা পড়বে?",multiply,৯০
"২৫টি আপেল থেকে ৫টি খাওয়া হলো। এখন কতটি আছে?",subtract,২০
"৪০০ টাকা থেকে ২০০ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,২০০
"১২টি আম ৩ জনের মধ্যে সমান ভাগ হলো। প্রত্যেকে কয়টি পেল?",divide,৪
"রুবি ৬০ টাকা দিয়ে ৩টি বই কিনল। প্রতিটি বইয়ের দাম কত?",divide,২০
"মিতা ৯টি কমলালেবু খেল। পরে আরও ৬টি খেল। মোট কতটি খেল?",add,১৫
"একটি দোকানে ১০০টি পেন্সিল আছে। তার মধ্যে ২৫টি বিক্রি হলো। এখন কতটি আছে?",subtract,৭৫
"১৫ জন ছাত্র ৩টি দলে ভাগ হলো। প্রতিটি দলে কয়জন?",divide,৫
